num_golfers,num_weeks,num_groups,group_size,tightness_T,probe_conflicts,sa_runtime,exact_runtime,sa_finished,exact_finished,winner
8,6,4,2,0.8571428571428571,356.0,0.162977933883667,0.124873399734497,1,1,exact
8,6,8,1,0.0,0.0,0.1552131175994873,0.2204411029815673,1,1,sa
9,6,9,1,0.0,0.0,0.2377057075500488,0.2860538959503174,1,1,sa
10,6,5,2,0.6666666666666666,0.0,0.2566962242126465,0.3150079250335693,1,1,sa
10,6,10,1,0.0,0.0,0.2490267753601074,0.4657380580902099,1,1,sa
11,6,11,1,0.0,0.0,0.3033885955810547,0.5288794040679932,1,1,sa
12,6,6,2,0.5454545454545454,0.0,0.2642202377319336,0.5587825775146484,1,1,sa
12,6,12,1,0.0,0.0,0.2250595092773437,0.5651273727416992,1,1,sa
14,6,7,2,0.4615384615384615,0.0,0.2917177677154541,0.6247050762176514,1,1,sa
15,6,5,3,0.8571428571428571,1307447.0,100.0,0.7590017318725586,0,1,exact
16,6,8,2,0.4,0.0,0.3812804222106933,1.1092042922973633,1,1,sa
18,6,6,3,0.7058823529411765,3160949.0,100.0,1.7739338874816897,0,1,exact
18,6,9,2,0.3529411764705882,571.0,0.5931739807128906,2.731605291366577,1,1,sa
20,6,5,4,0.9473684210526316,3533185.0,100.0,100.0,0,0,none
20,6,10,2,0.3157894736842105,2100.0,0.665156364440918,3.412139177322388,1,1,sa
21,6,7,3,0.6,726083.0,0.7143445014953613,2.624946594238281,1,1,sa
22,6,11,2,0.2857142857142857,0.0,0.6478242874145508,10.705023765563965,1,1,sa
24,6,6,4,0.782608695652174,7626980.0,100.0,100.0,0,0,none
24,6,8,3,0.5217391304347826,2598.0,0.8782336711883545,4.012861251831055,1,1,sa
24,6,12,2,0.2608695652173913,0.0,0.7651925086975098,6.303366422653198,1,1,sa
27,6,9,3,0.4615384615384615,0.0,0.7511506080627441,5.621444463729858,1,1,sa
28,6,7,4,0.6666666666666666,7561453.0,100.0,8.440378189086914,0,1,exact
30,6,6,5,0.8275862068965517,4865380.0,100.0,100.0,0,0,none
30,6,10,3,0.4137931034482758,0.0,1.067878246307373,8.108472108840942,1,1,sa
8,7,8,1,0.0,0.0,0.1708395481109619,0.2250146865844726,1,1,sa
9,7,9,1,0.0,0.0,0.2243907451629638,0.3795068264007568,1,1,sa
10,7,5,2,0.7777777777777778,425.0,0.2589428424835205,0.255946397781372,1,1,exact
10,7,10,1,0.0,0.0,0.2464544773101806,0.4585003852844238,1,1,sa
